Name,R1,R2,R3,R4,Cont,Event,<Day,Day,>Day,km2,Type,RO,ER,P,PF,ADR,ET,RR,LF,GW,Snow,Grow,Agro,HP,Pes,Deg,DD,V,SOR,ROM,ERM,LCH,PFM,LMF,PU,T,PP,Tot
MIKE SHE,﻿Borah2003,﻿Quilbe2006,,,Cont.,Event,<Day,Day,>Day,<100,Dist.,RO,Eros.,Perc.,,,ET,RR,LF,GW,Snow,CW,,9,Yes,Deg.,,Volat,Sorpt.,ROM,ERM,Lch.,,,,,6,15
MIKE-11,﻿Merritt2003,﻿Pandey2016,,,Cont.,Event,,,,<100,Dist.,RO,Eros.,Perc.,,,,,,,,,,3,No,,,,,,,,,,,,0,3
MULTSED,﻿Pandey2016,,,,,Event,,,,<10,Dist.,RO,Eros.,Perc.,,,,,,,,,,3,No,,,,,,,,,,,,0,3
NELUP,﻿Quilbe2006,,,,Cont.,Event,<Day,,,>100,Dist.,RO,Eros.,Perc.,,,,RR,,,,,,4,Yes,Deg.,,Volat,Sorpt.,ROM,ERM,Lch.,,,,,6,10
NPS,﻿Quilbe2006,,,,Cont.,Event,<Day,Day,,,Lump.,RO,Eros.,,,,,,,,,,,2,Yes,Deg.,,,Sorpt.,ROM,ERM,,,,,,5,7
OPUS,﻿Pandey2016,,,,Cont.,,,,,<10,Dist.,RO,Eros.,Perc.,,,,,,,,,,3,Yes,,,,,,,,,,,,0,3
PALMS,﻿Pandey2016,,,,,Event,,,,<10,Dist.,RO,Eros.,Perc.,,,,,,,,,,3,No,,,,,,,,,,,,0,3
PEEP-HILLFLOW,﻿Pandey2016,,,,,Event,,,,<10,Dist.,RO,Eros.,Perc.,,,,,,,,,,3,No,,,,,,,,,,,,0,3
PERFECT,﻿Merritt2003,﻿Pandey2016,,,,Event,,Day,,<10,Lump.,RO,Eros.,Perc.,,,,,,,,Crop,,4,No,,,,,,,,,,,,0,4
PERFECT,﻿Pandey2016,,,,,Event,,Day,,<10,Lump.,RO,Eros.,Perc.,,,,,,,,,,3,No,,,,,,,,,,,,0,3
PESERA,﻿Pandey2016,,,,Cont.,,,,,<100,Lump.,RO,Eros.,Perc.,,,,,,,,,,3,No,,,,,,,,,,,,0,3
PHYLOU,﻿Payraudeau2012,,,,,,,,,,,,,,,,,,,,,,,0,No,,,,,,,,,,,,0,0
PLM,﻿Koehne2009b,,,,Cont.,Event,,Day,,<10,1D,,,Perc.,PF,ADR,,,LF,,,CW,,5,Yes,Deg.,DD,,Sorpt.,,,,PFM,,,Temp.,5,10
POLA,﻿Quilbe2006,,,,Cont.,,,Day,,,Lump.,RO,Eros.,,,,,,,,,,,2,Yes,Deg.,,,Sorpt.,ROM,ERM,,,,,,5,7
POPPIE,﻿Quilbe2006,,,,,,,,,,,,,,,,,,,,,,,0,Yes,,,,,,,,,,,,3,3
PRM,﻿Quilbe2006,,,,Cont.,,,Day,,,Lump.,RO,Eros.,,,,,,,,,,,2,Yes,Deg.,,,Sorpt.,ROM,ERM,,,,,,5,7
PRMS,﻿Borah2003,﻿Pandey2016,,,Cont.,Event,<Day,Day,>Day,<100,Dist.,RO,Eros.,Perc.,,,,,,,Snow,,,4,No,,,,,,,,,,,,0,4
RHEM,﻿Pandey2016,,,,,Event,,,,<10,Dist.,RO,Eros.,Perc.,,,,,,,,,,3,No,,,,,,,,,,,,0,3
RillGrow,﻿Pandey2016,,,,,Event,,,,<10,Dist.,RO,Eros.,Perc.,,,,,,,,,,3,No,,,,,,,,,,,,0,3
RUNOFF,﻿Pandey2016,,,,,Event,,,,<100,Dist.,RO,Eros.,Perc.,,,,,,,,,,3,No,,,,,,,,,,,,0,3
RZWQM,﻿Koehne2009b,,,,Cont.,Event,<Day,,,<10,1D,RO,Eros.,Perc.,PF,ADR,ET,,LF,,,CW,Agro.,9,Yes,Deg.,DD,Volat,Sorpt.,ROM,ERM,Lch.,PFM,,Uptake,Temp.,10,19
SACADEAU,﻿Payraudeau2012,,,,,,,,,,,,,,,,,,,,,,,0,No,,,,,,,,,,,,0,0
SEDIMOT,﻿Pandey2016,,,,,Event,,,,<10,Dist.,RO,Eros.,Perc.,,,,,,,,,,3,No,,,,,,,,,,,,0,3
SEDNET,﻿Merritt2003,,,,,,,,>Day,<100,Dist.,RO,Eros.,Perc.,,,,RR,,,,,,4,No,,,,,,,,,,,,0,4
SEPTWA,﻿Quilbe2006,,,,Cont.,,,Day,,>100,Lump.,RO,Eros.,Perc.,,,,,,,,,,3,Yes,,,,,ROM,ERM,Lch.,,,,,3,6
SHE/SHESED,﻿Pandey2016,,,,Cont.,Event,,,,<100,Dist.,RO,Eros.,Perc.,,,,,,,,,,3,No,,,,,,,,,,,,0,3
SHETRAN,﻿Quilbe2006,﻿Pandey2016,,,Cont.,Event,<Day,,,>100,Dist.,RO,Eros.,Perc.,,,,RR,,,,,,4,Yes,Deg.,,,Sorpt.,ROM,ERM,Lch.,,,,,5,9
SIMULAT,﻿Koehne2009b,,,,Cont.,Event,<Day,,,<10,1D,,,Perc.,PF,ADR,,,LF,,,CW,,5,Yes,Deg.,DD,,Sorpt.,,,Lch.,PFM,,,Temp.,6,11
SMODERP,﻿Pandey2016,,,,,Event,,,,<10,Lump.,RO,Eros.,Perc.,,,,,,,,,,3,No,,,,,,,,,,,,0,3
SoilFug,﻿Quilbe2006,,,,,Event,,Day,,,,RO,,,,,,,,,,,,1,Yes,Deg.,,Volat,Sorpt.,ROM,,,,,,,6,7
SPUR,﻿Pandey2016,,,,Cont.,,,,,<10,Lump.,RO,Eros.,Perc.,,,,,,,,,,3,No,,,,,,,,,,,,0,3
STREAM-pesticide,﻿Payraudeau2012,,,,,,,,,,,,,,,,,,,,,,,0,No,,,,,,,,,,,,0,0
SURFACE,﻿Quilbe2006,,,,Cont.,,,Day,,>100,Lump.,RO,,,,,,,,,,,,1,Yes,Deg.,,,Sorpt.,ROM,,,,,,,5,6
SWAM,﻿Quilbe2006,,,,Cont.,,,,,,Lump.,RO,Eros.,Perc.,,,,RR,,,,,,4,Yes,,,,,ROM,ERM,Lch.,,,,,3,7
SWAT,﻿Borah2003,﻿Quilbe2006,﻿Pandey2016,﻿Payraudeau2012,Cont.,,,Day,>Day,>100,Lump.,RO,Eros.,Perc.,,,ET,RR,LF,GW,,,,7,Yes,Deg.,,,Sorpt.,ROM,ERM,Lch.,,,Uptake,Temp.,7,14
SWIM,﻿Pandey2016,,,,Cont.,,,,,<100,Dist.,RO,Eros.,Perc.,,,,,,,,,,3,No,,,,,,,,,,,,0,3
SWM,﻿Pandey2016,,,,Cont.,,,,,<100,Dist.,RO,Eros.,Perc.,,,,,,,,,,3,No,,,,,,,,,,,,0,3
SWRRB,﻿Merritt2003,﻿Pandey2016,,,Cont.,Event,,,,<100,Lump.,RO,Eros.,Perc.,,,,,,,,,,3,No,,,,,,,,,,,,0,3
TOPMODEL,﻿Pandey2016,,,,Cont.,Event,,,,<100,Dist.,RO,Eros.,Perc.,,,,,,,,,,3,No,,,,,,,,,,,,0,3
TOPOG,﻿Merritt2003,﻿Pandey2016,,,,Event,<Day,Day,,<100,Dist.,RO,Eros.,Perc.,,,,,,,,,,3,No,,,,,,,,,,,,0,3
UP,﻿Quilbe2006,,,,Cont.,,<Day,,,>100,Dist.,RO,Eros.,Perc.,,,,RR,,,,,,4,Yes,Deg.,,Volat,Sorpt.,ROM,ERM,Lch.,,,,,6,10
USLE,﻿Merritt2003,,,,,,,,,,,,,,,,,,,,,,,0,No,,,,,,,,,,,,0,0
VESPP,﻿Payraudeau2012,,,,,,,,,,,,,,,,,,,,,,,0,No,,,,,,,,,,,,0,0
WARMF,﻿Quilbe2006,,,,Cont.,,,Day,,>100,Dist.,RO,Eros.,,,,,RR,,,,,,3,Yes,Deg.,,Volat,Sorpt.,ROM,ERM,,,,,,6,9
WASCH,﻿Quilbe2006,,,,,Event,<Day,,,,,RO,,,,,,,,,,,,1,Yes,,,,,ROM,,,,,,,3,4
WATEM/SEDEM,﻿Pandey2016,,,,Cont.,,,,,<10,Dist.,RO,Eros.,Perc.,,,,,,,,,,3,No,,,,,,,,,,,,0,3
WATERWARE,﻿Quilbe2006,,,,Cont.,,,Day,,>100,Dist.,RO,Eros.,Perc.,,,,RR,,,,,,4,Yes,,,Volat,,ROM,ERM,Lch.,,,,,4,8
WEPP,﻿Merritt2003,﻿Pandey2016,,,Cont.,Event,,,,<100,Lump.,RO,Eros.,Perc.,,,ET,,,,,,,4,No,,,,,,,,,,,,0,4
WESP,﻿Pandey2016,,,,,Event,,,,<100,Dist.,RO,Eros.,Perc.,,,,,,,,,,3,No,,,,,,,,,,,,0,3
